,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
0,0,0,0,1,9,0
1,1,1,0,0,5,4
2,2,0,0,2,0,8
3,3,1,3,1,2,3
4,4,1,1,1,1,6
5,5,0,0,1,1,8
6,6,1,2,0,1,6
7,7,1,0,0,0,9
8,8,1,0,0,0,9
9,9,1,1,0,1,7
10,10,2,0,0,2,6
11,11,0,1,0,0,9
12,12,2,0,2,0,6
13,13,4,0,0,2,4
14,14,1,0,1,3,5
15,15,4,0,0,0,6
16,16,0,0,2,0,8
17,17,1,0,0,2,7
18,18,0,0,0,0,10
19,19,0,0,1,2,7
20,20,0,0,0,4,6
21,21,2,1,2,3,2
22,22,0,1,0,0,9
23,23,1,2,2,3,2
24,24,0,0,1,2,7
25,25,2,0,0,1,7
26,26,0,0,0,1,9
27,27,0,0,0,3,5
28,28,0,0,1,1,8
29,29,0,3,1,3,3
30,30,0,0,0,0,10
31,31,2,0,0,0,8
32,32,2,2,1,1,4
33,33,1,1,0,3,5
34,34,1,0,0,0,9
35,35,1,0,0,3,6
36,36,2,0,1,0,7
37,37,1,3,0,1,5
38,38,1,1,0,1,7
39,39,0,0,0,3,7
40,40,1,1,2,4,2
41,41,2,1,0,3,4
42,42,1,0,3,0,6
43,43,2,1,0,1,6
44,44,0,0,0,2,8
45,45,1,0,2,1,6
46,46,0,0,1,7,2
47,47,1,0,2,2,5
48,48,1,0,0,2,7
49,49,0,0,0,6,4
50,50,4,0,0,0,6
51,51,1,2,0,3,4
52,52,0,0,1,3,6
53,53,0,1,3,0,6
54,54,2,0,0,2,6
55,55,0,0,0,1,9
56,56,0,1,0,1,8
57,57,3,0,0,0,7
58,58,1,0,0,2,7
59,59,0,0,2,7,1
60,60,0,1,1,7,1
61,61,0,0,0,0,10
62,62,0,1,0,6,3
63,63,1,0,0,1,8
64,64,1,2,0,4,3
65,65,0,0,1,0,9
66,66,0,0,1,1,8
67,67,1,0,0,3,6
68,68,0,0,1,0,9
69,69,0,0,0,0,10
70,70,0,0,0,0,10
71,71,3,0,0,1,6
72,72,2,0,0,1,7
73,73,0,0,2,2,6
74,74,0,0,0,2,8
75,75,0,0,1,0,9
76,76,2,0,0,0,8
77,77,3,0,0,1,6
78,78,2,0,0,1,7
79,79,2,1,1,0,6
80,80,2,1,1,1,5
81,81,0,1,0,2,7
82,82,1,0,2,1,6
83,83,1,0,0,2,7
84,84,3,0,2,1,4
85,85,0,0,1,0,9
86,86,3,0,0,0,7
87,87,4,0,0,0,6
88,88,2,0,0,1,7
89,89,2,0,0,2,6
90,90,1,0,2,0,7
91,91,1,0,0,1,8
92,92,0,0,1,2,7
93,93,1,0,0,2,7
94,94,1,0,0,0,9
95,95,2,1,0,0,7
96,96,1,2,0,2,5
97,97,1,0,1,3,5
98,98,0,0,2,2,6
99,99,0,0,0,3,7
100,100,0,1,1,1,7
101,101,1,1,0,3,5
102,102,2,0,0,2,6
103,103,0,0,0,2,8
104,104,1,0,0,1,8
105,105,1,0,0,0,9
106,106,0,0,0,1,9
107,107,0,0,1,3,1
108,108,4,0,1,0,5
109,109,3,1,0,2,4
110,110,0,1,2,2,5
111,111,0,0,1,0,9
112,112,0,1,1,1,7
113,113,0,0,0,1,9
114,114,1,1,1,0,7
115,115,0,1,1,2,6
116,116,2,1,0,1,6
117,117,0,0,2,1,7
118,118,0,0,1,6,3
119,119,0,0,1,6,3
120,120,1,0,2,4,3
121,121,1,0,0,0,9
122,122,1,0,0,4,3
123,123,1,0,1,2,6
124,124,0,0,1,0,9
125,125,0,0,0,1,9
126,126,1,2,1,3,3
127,127,0,0,0,0,10
128,128,1,1,0,3,5
129,129,2,0,1,1,6
130,130,0,0,1,0,9
131,131,1,1,0,1,7
132,132,0,0,0,0,10
133,133,0,1,1,1,7
134,134,2,1,0,1,6
135,135,1,0,3,5,1
136,136,0,0,0,1,9
137,137,0,0,0,0,10
138,138,0,0,1,1,8
139,139,0,0,2,1,7
140,140,4,0,0,2,4
141,141,0,0,0,0,10
142,142,1,1,0,7,1
143,143,0,0,0,0,10
144,144,1,0,1,3,5
145,145,2,0,1,1,6
146,146,2,0,2,0,6
147,147,0,0,2,0,8
148,148,0,0,1,2,7
149,149,2,0,1,4,3
150,150,1,1,1,0,7
151,151,4,0,0,1,5
152,152,1,1,0,3,5
153,153,1,0,0,2,7
154,154,1,1,0,1,7
155,155,0,2,0,1,7
156,156,1,0,1,4,4
157,157,2,1,0,3,4
158,158,0,0,0,2,8
159,159,1,0,0,1,8
160,160,2,1,0,0,7
161,161,3,1,0,3,3
162,162,2,1,0,0,7
163,163,0,0,0,2,8
164,164,0,1,0,6,3
165,165,2,0,0,1,7
166,166,1,0,3,1,5
167,167,1,0,0,2,7
168,168,2,0,0,1,7
169,169,0,0,1,2,7
170,170,0,0,1,0,9
171,171,0,0,0,2,8
172,172,0,0,0,2,8
173,173,0,0,0,2,8
174,174,4,0,0,2,4
175,175,2,0,0,2,6
176,176,2,0,0,1,7
177,177,2,2,0,1,5
178,178,1,0,1,2,6
179,179,1,1,1,0,7
180,180,1,1,0,2,6
181,181,0,0,0,3,7
182,182,3,0,1,0,6
183,183,1,0,2,2,5
184,184,0,1,0,5,4
185,185,0,1,0,2,7
186,186,1,0,2,1,6
187,187,0,0,1,1,8
188,188,2,0,1,0,7
189,189,1,0,0,4,5
190,190,0,1,2,1,6
191,191,2,0,0,0,8
192,192,1,1,0,2,6
193,193,2,1,0,1,6
194,194,2,1,1,1,5
195,195,1,1,0,2,6
196,196,0,1,0,2,7
197,197,0,0,0,2,8
198,198,0,0,0,0,10
199,199,0,0,0,0,10
200,200,1,0,0,2,7
201,201,0,0,0,1,9
202,202,1,2,0,3,4
203,203,3,0,2,0,5
204,204,0,0,1,1,8
205,205,0,0,3,1,6
206,206,3,0,2,0,5
207,207,0,0,0,2,8
208,208,1,1,1,1,6
209,209,1,0,0,3,6
210,210,0,1,0,3,6
211,211,3,2,1,2,2
212,212,0,2,0,3,5
213,213,0,0,0,1,9
214,214,2,0,1,1,6
215,215,2,0,0,2,6
216,216,2,1,0,2,5
217,217,4,1,0,1,4
218,218,1,2,0,1,6
219,219,1,0,2,1,6
220,220,0,0,0,4,6
221,221,2,0,0,3,5
222,222,2,0,0,2,6
223,223,0,0,0,4,6
224,224,2,0,0,1,7
225,225,1,0,0,2,7
226,226,0,3,1,2,4
227,227,1,0,0,0,9
